"provider_id";"user_id";"business_name";"occupation";"bio";"location";"experience_years";"verification_status";"created_at";"updated_at"
1;1;"Ahmed Solutions";"Plumber";"Experienced Plumber with 14 years.";"Lahore, Pakistan";14;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
2;2;"Sara Works";"Home Tutor";"Experienced Home Tutor with 3 years.";"Karachi, Pakistan";3;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
3;3;"Bilal Enterprises";"Web Developer";"Experienced Web Developer with 11 years.";"Islamabad, Pakistan";11;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
4;4;"Hina Hub";"Photographer";"Experienced Photographer with 15 years.";"Faisalabad, Pakistan";15;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
5;5;"Usman Pro";"Carpenter";"Experienced Carpenter with 5 years.";"Rawalpindi, Pakistan";5;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
6;6;"Ayesha Expert";"Painter";"Experienced Painter with 6 years.";"Multan, Pakistan";6;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
7;7;"Zain Care";"AC Technician";"Experienced AC Technician with 15 years.";"Quetta, Pakistan";15;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
8;8;"Nadia Tech";"Mason";"Experienced Mason with 10 years.";"Hyderabad, Pakistan";10;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
9;9;"Hamza Studio";"Gardener";"Experienced Gardener with 15 years.";"Sialkot, Pakistan";15;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
10;10;"Fatima Services";"Mechanic";"Experienced Mechanic with 9 years.";"Peshawar, Pakistan";9;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
11;11;"Ali Solutions";"Tailor";"Experienced Tailor with 6 years.";"Lahore, Pakistan";6;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
12;12;"Rabia Works";"Chef";"Experienced Chef with 9 years.";"Karachi, Pakistan";9;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
13;13;"Hassan Enterprises";"Driver";"Experienced Driver with 7 years.";"Islamabad, Pakistan";7;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
14;14;"Maria Hub";"Graphic Designer";"Experienced Graphic Designer with 14 years.";"Faisalabad, Pakistan";14;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
15;15;"Imran Pro";"Interior Designer";"Experienced Interior Designer with 3 years.";"Rawalpindi, Pakistan";3;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
16;16;"Sana Expert";"Security Guard";"Experienced Security Guard with 12 years.";"Multan, Pakistan";12;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
17;17;"Tariq Care";"Cleaner";"Experienced Cleaner with 8 years.";"Quetta, Pakistan";8;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
18;18;"Amna Tech";"Welder";"Experienced Welder with 5 years.";"Hyderabad, Pakistan";5;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
19;19;"Faisal Studio";"Nurse";"Experienced Nurse with 9 years.";"Sialkot, Pakistan";9;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
20;20;"Zara Services";"Electrician";"Experienced Electrician with 10 years.";"Peshawar, Pakistan";10;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
21;21;"Junaid Solutions";"Plumber";"Experienced Plumber with 12 years.";"Lahore, Pakistan";12;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
22;22;"Iram Works";"Home Tutor";"Experienced Home Tutor with 14 years.";"Karachi, Pakistan";14;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
23;23;"Kamran Enterprises";"Web Developer";"Experienced Web Developer with 12 years.";"Islamabad, Pakistan";12;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
24;24;"Sobia Hub";"Photographer";"Experienced Photographer with 13 years.";"Faisalabad, Pakistan";13;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
25;25;"Waqas Pro";"Carpenter";"Experienced Carpenter with 3 years.";"Rawalpindi, Pakistan";3;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
26;26;"Farah Expert";"Painter";"Experienced Painter with 14 years.";"Multan, Pakistan";14;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
27;27;"Omer Care";"AC Technician";"Experienced AC Technician with 2 years.";"Quetta, Pakistan";2;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
28;28;"Mehwish Tech";"Mason";"Experienced Mason with 5 years.";"Hyderabad, Pakistan";5;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
29;29;"Danish Studio";"Gardener";"Experienced Gardener with 5 years.";"Sialkot, Pakistan";5;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
30;30;"Shazia Services";"Mechanic";"Experienced Mechanic with 6 years.";"Peshawar, Pakistan";6;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
31;31;"Asad Solutions";"Tailor";"Experienced Tailor with 3 years.";"Lahore, Pakistan";3;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
32;32;"Noor Works";"Chef";"Experienced Chef with 4 years.";"Karachi, Pakistan";4;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
33;33;"Shahzad Enterprises";"Driver";"Experienced Driver with 7 years.";"Islamabad, Pakistan";7;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
34;34;"Huma Hub";"Graphic Designer";"Experienced Graphic Designer with 11 years.";"Faisalabad, Pakistan";11;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
35;35;"Rizwan Pro";"Interior Designer";"Experienced Interior Designer with 7 years.";"Rawalpindi, Pakistan";7;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
36;36;"Saima Expert";"Security Guard";"Experienced Security Guard with 15 years.";"Multan, Pakistan";15;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
37;37;"Adnan Care";"Cleaner";"Experienced Cleaner with 15 years.";"Quetta, Pakistan";15;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
38;38;"Uzma Tech";"Welder";"Experienced Welder with 3 years.";"Hyderabad, Pakistan";3;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
39;39;"Nadeem Studio";"Nurse";"Experienced Nurse with 6 years.";"Sialkot, Pakistan";6;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
40;40;"Samia Services";"Electrician";"Experienced Electrician with 14 years.";"Peshawar, Pakistan";14;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
41;41;"Farhan Solutions";"Plumber";"Experienced Plumber with 3 years.";"Lahore, Pakistan";3;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
42;42;"Rukhsar Works";"Home Tutor";"Experienced Home Tutor with 3 years.";"Karachi, Pakistan";3;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
43;43;"Salman Enterprises";"Web Developer";"Experienced Web Developer with 8 years.";"Islamabad, Pakistan";8;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
44;44;"Aisha Hub";"Photographer";"Experienced Photographer with 14 years.";"Faisalabad, Pakistan";14;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
45;45;"Waseem Pro";"Carpenter";"Experienced Carpenter with 10 years.";"Rawalpindi, Pakistan";10;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
46;46;"Lubna Expert";"Painter";"Experienced Painter with 11 years.";"Multan, Pakistan";11;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
47;47;"Naeem Care";"AC Technician";"Experienced AC Technician with 5 years.";"Quetta, Pakistan";5;"pending";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
48;48;"Madiha Tech";"Mason";"Experienced Mason with 14 years.";"Hyderabad, Pakistan";14;"rejected";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
49;49;"Babar Studio";"Gardener";"Experienced Gardener with 5 years.";"Sialkot, Pakistan";5;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
50;50;"Gulnaz Services";"Mechanic";"Experienced Mechanic with 3 years.";"Peshawar, Pakistan";3;"verified";"2026-05-15 22:47:04";"2026-05-15 22:47:04"
